Country,Nights,Room_Revenue,ARR,Revenue_Pct
INDIA,2019.0,6978235.78,3456.28,89.63
GERMANY,141.0,285713.6,2026.34,3.67
"IRAN, ISLAMIC REPUBLIC OF",62.0,209250.0,3375.0,2.69
SOUTH AFRICA,34.0,63952.3,1880.95,0.82
AUSTRIA,6.0,39599.87,6599.98,0.51
BENIN,7.0,37916.62,5416.66,0.49
PHILIPPINES,9.0,35928.56,3992.06,0.46
UNITED KINGDOM,6.0,24649.89,4108.32,0.32
JAPAN,6.0,21000.0,3500.0,0.27
RUSSIAN FEDERATION,6.0,16690.47,2781.75,0.21
SPAIN,4.0,12576.18,3144.05,0.16
UNITED STATES,3.0,11809.51,3936.5,0.15
IRELAND,3.0,11299.38,3766.46,0.15
CHINA,2.0,8575.87,4287.94,0.11
LUXEMBOURG,3.0,7285.71,2428.57,0.09
INDONESIA,4.0,7142.84,1785.71,0.09
NEW ZEALAND,1.0,6166.66,6166.66,0.08
SLOVAKIA,2.0,3571.42,1785.71,0.05
HONDURAS,1.0,2738.09,2738.09,0.04
SWITZERLAND,1.0,1785.71,1785.71,0.02
