Company,Nights,Room_Revenue,ADR,Revenue_Pct
  SIMPLOTEL,137,1123089.19,8197.7313,13.2
  BOOKING.COM,58,602018.24,10379.6248,7.07
  AGODA,64,572931.52,8952.055,6.73
  DIRECT GUEST,59,570687.86,9672.6756,6.71
  INTERSIGHT TOURS & TRAVELS (P) LTD,82,515969.94,6292.3163,6.06
  MAKEMYTRIP.COM,71,513527.25,7232.7782,6.03
  EXPEDIA.COM,46,393986.43,8564.9224,4.63
  MAX ADVERTISING,56,373027.46,6661.2046,4.38
  PARADISE HOLIDAYS INDIA PRIVATE LIMITED,58,292316.76,5039.9441,3.43
  KERALA ASSOSCIATION OF NEUROLOGISTS,33,196101.71,5942.4761,2.3
  SECURITIES AND EXCHANGE BOARD OF INDIA,36,188637.5,5239.9306,2.22
  INDIAN TOUR CLUB,8,183305.04,22913.13,2.15
  RAVEENDRA HOSPITALITY PRIVATE LIMITED,12,130974.51,10914.5425,1.54
  GOLDEN SAND HOLIDAYS,19,130423.6,6864.4,1.53
  SOVARNA HOSPITALITY SERVICES PRIVATE LIMITED,14,124141.91,8867.2793,1.46
  DALMIA CEMENT (BHARAT) LIMITED,25,123157.35,4926.294,1.45
  GOIBIBO.COM,16,118101.53,7381.3456,1.39
  SCENARIO WEDDINGS,25,116525.25,4661.01,1.37
  BANANA LEAF DESTINATIONZ,14,95783.83,6841.7021,1.13
  SOUTHERN ODYSSEY,14,94957.54,6782.6814,1.12
  DISTINCT DESTINATIONS PRIVATE LIMITED,14,86228.99,6159.2136,1.01
  KST TOURS PRIVATE LIMITED,12,73855.9,6154.6583,0.87
  SERENE PARADISE HOLIDAYS,10,65254.22,6525.422,0.77
  APTIV CONNECTION SYSTEMS INDIA PRIVATE LIMITED,13,62825.0,4832.6923,0.74
  TAMARIND GLOBAL SERVICES PRIVATE LIMITED,10,61398.28,6139.828,0.72
  NIT WORLDWIDE HOLIDAYS PVT LTD,8,61059.34,7632.4175,0.72
  VEENA PATIL HOSPITALITY PRIVATE LIMITED,8,55042.38,6880.2975,0.65
  CHOLAN TOURS PRIVATE LIMITED,8,54703.34,6837.9175,0.64
  YATRA ONLINE LIMITED,11,52923.73,4811.2482,0.62
  GROOWYND HOLIDAYS INDIA PVT LTD,8,52203.36,6525.42,0.61
  ETHNIC HOSPITALITY,8,48241.51,6030.1888,0.57
  FLAMINGO  TRANSWORLD PVT LTD,6,47033.88,7838.98,0.55
  CLASSIC TRAVEL SHOPPE PRIVATE LIMITED,6,43813.56,7302.26,0.51
  KERALA HOLIDAYS PRIVATE LTD,7,43324.13,6189.1614,0.51
  SPICELAND HOLIDAYS AND ENTERTAINMENTS PVT LTD,5,38135.58,7627.116,0.45
  AUSLEN CONNECT,6,37754.22,6292.37,0.44
  THE WORLD JOURNEY,5,37055.07,7411.014,0.44
  TWEAKMYTRIP TOURS & TRAVELS LLP,4,36820.14,9205.035,0.43
  ELE TOURS,6,36122.87,6020.4783,0.42
  SHEZA HOLIDAYS TOURS AND TRAVELS,5,35889.82,7177.964,0.42
  WORLD TRAVEL EXPERIENCES,4,35847.44,8961.86,0.42
  SMILE HOLIDAY TOURS,6,34957.62,5826.27,0.41
  PLATINUM VACATION (A UNIT PLATINUM STAYS(HOTEL&RESORT),6,34322.04,5720.34,0.4
  VACATION KERALA,5,33093.2,6618.64,0.39
  EXPORT IMPORT BANK OF INDIA,6,32400.0,5400.0,0.38
  REZMYTRIP LLP,4,30762.72,7690.68,0.36
  ISHA HOLIDAYS PRIVATE LIMITED,4,30529.58,7632.395,0.36
  TRAVELUST TOURS AND MICE PRIVATE LIMITED,6,30211.84,5035.3067,0.35
  YATRA TG STAYS PRIVATE LIMITED,7,29939.61,4277.0871,0.35
  YATRA ONLINE LIMITED- MUMBAI,4,28623.9,7155.975,0.34
  ROUTED INDIA TRAVELS,5,28432.2,5686.44,0.33
  BOUT INDIA TOURS LLC,4,27966.1,6991.525,0.33
  NB4 HOLIDAYS PRIVATE LIMITED,4,27457.6,6864.4,0.32
  MEGASUS HOLIDAYS,4,23644.08,5911.02,0.28
  PEREGRINE HOLIDAYS,3,23072.04,7690.68,0.27
  LEDD HOSPITALITY PRIVATE LIMITED,3,22139.82,7379.94,0.26
  THY GRACE INTERNATIONALS COCOKERALA,3,21673.71,7224.57,0.25
  ECONOMADS,4,20508.48,5127.12,0.24
  JAGAT JAYANTILAL SHAH (PROP.OF PERFECT HOLIDAY,3,19343.21,6447.7367,0.23
  SOUTHALL TRAVEL LIMITED,3,19110.16,6370.0533,0.22
  KOTI ADVAYA HOLIDAYS,2,19110.16,9555.08,0.22
  VICEREGAL TRAVELS & RESORTS LTD,3,18927.57,6309.19,0.22
  TRINETRA TOURS PVT LTD,2,17711.86,8855.93,0.21
  CONCORD EXOTIC VOYAGES INDIA PVT LTD.,4,17711.84,4427.96,0.21
  MARVEL TOURS PVT LTD,2,17478.82,8739.41,0.21
  HANNA JOSHUA SHAPURKAR,4,17245.76,4311.44,0.2
  TRAVELEX HOLIDAYS PRIVATE LIMITED,2,17161.02,8580.51,0.2
  SEALAND HOLIDAYZ,4,16779.64,4194.91,0.2
