Company,Nights,Room_Revenue,ARR,Revenue_Pct
CREATIVE AXIS WEDDING,186.0,1496495.0,8045.67,10.91
SIMPLOTEL,171.0,1338172.8,7825.57,9.75
CONNECT X EVENTS,174.0,1189440.0,6835.86,8.67
DIRECT BOOKING M,112.0,988604.45,8826.83,7.21
MAKEMYTRIP.COM,131.0,950769.8,7257.78,6.93
WWW.BOOKING.COM,92.0,895934.91,9738.42,6.53
ADINATH HOLIDAYS,147.0,579200.0,3940.14,4.22
MR.PRAMOD KULKARNI WEDDING,57.0,451500.34,7921.06,3.29
GAGANGIRI CONSTRUCTION,50.0,385000.0,7700.0,2.81
AGODAYCS.COM,63.0,382111.87,6065.27,2.79
JFSC SPORTS SERVICES PRIVATE LIMITED,55.0,358897.0,6525.4,2.62
TOUCAN INDIA,53.0,352400.0,6649.06,2.57
SCHINDLER INDIA PRIVATE LIMITED,55.0,291200.0,5294.55,2.12
MAHATRANSCO,56.0,286900.0,5123.21,2.09
SPORTA TECHNOLOGIES PRIVATE LIMITED,67.0,261600.0,3904.48,1.91
YOGAANI BHATIA SOCIAL EVENT,45.0,251490.51,5588.68,1.83
LGT BUSINESS CONNEXTIONS LIMITED,53.0,230600.0,4350.94,1.68
DIRECT BOOKING,29.0,227783.32,7854.6,1.66
WALK IN,31.0,222928.87,7191.25,1.62
MOTHERSON AIR TRAVEL AGENCIES LTD,58.0,217084.74,3742.84,1.58
LIFAFA TECH SERVICES PRIVATE LIMITED,43.0,173200.0,4027.91,1.26
LE PARAGUAS CONSULTANTS PRIVATE LIMITED,40.0,156000.0,3900.0,1.14
BALAJI ENTERPRISES,13.0,152542.4,11734.03,1.11
RESERVE BANK OF INDIA  (HOLIDAY HOME),20.0,143500.0,7175.0,1.05
TRAVEL HOUSE MUMBAI,20.0,142372.8,7118.64,1.04
MAKARAND MADUSKAR-SOCIAL,20.0,136000.0,6800.0,0.99
EXPEDIA.COM,17.0,135067.3,7945.14,0.98
CLEARTRIP PVT LTD,18.0,130932.63,7274.04,0.95
DETICKETVILLA,12.0,106830.44,8902.54,0.78
GOIBIBO.COM,15.0,100367.58,6691.17,0.73
ABBOTT HEALTHCARE PVT LTD,25.0,100000.0,4000.0,0.73
MOVING HEAD EVENTS PVT LTD,20.0,96400.0,4820.0,0.7
KSHIPRA HEALTH SOLUTIONS LLP,23.0,92000.0,4000.0,0.67
ACCORD EQUIPS,15.0,88975.0,5931.67,0.65
AJIT VAIDYA,10.0,85400.0,8540.0,0.62
ALLIANZ SERVICES PRIVATE LIMITED,14.0,58400.0,4171.43,0.43
DRAEGER INDIA PVT LTD,13.0,49400.0,3800.0,0.36
ATLAS COPCO ( INDIA ) PRIVATE LIMITED,8.0,48000.0,6000.0,0.35
EXPORT-IMPORT BANK OF INDIA,4.0,47000.0,11750.0,0.34
SAPAT INTERNATIONAL PVT LTD,12.0,38103.2,3175.27,0.28
RUDRAY TOURS.,6.0,36305.07,6050.85,0.26
CLASSIC TRAVEL SHOPPE PVT LTD.,7.0,34999.81,4999.97,0.26
YELLOW BOX,6.0,29084.76,4847.46,0.21
MISBA HOLIDAYS PVT LTD .,6.0,28200.0,4700.0,0.21
MAHINDRA FIRST CHOICE WHEELS LIMITED,7.0,24600.0,3514.29,0.18
GRANDANAN TAVALLEY,4.0,21355.92,5338.98,0.16
MR.ANIMESH SINHA WEDDING,0.0,21000.0,0.0,0.15
HEC HOSPITALITY PVT LTD,3.0,15423.72,5141.24,0.11
HOLIDE TRAVELS,2.0,15423.72,7711.86,0.11
SOCIAL EVENTS,2.0,10400.34,5200.17,0.08
DIRECTORS REF,2.0,10169.48,5084.74,0.07
CAPGEMINI INDIA PVT. LTD.,1.0,8500.0,8500.0,0.06
CLASSIC STRIPES PRIVATE LIMITED						,1.0,7118.64,7118.64,0.05
PLANET HOSPITALITY,1.0,7108.47,7108.47,0.05
SRIRAM TRAVELS,1.0,6228.81,6228.81,0.05
SHOBIZ EXPERIENTIAL COMMUNICATIONS PRIVA,1.0,5619.66,5619.66,0.04
